a,b
,약 복용하니 두통이 잦고 졸음도 자주 옵니다.
,약 복용이후 피로가 너무 심합니다.
,약 복용이후 졸음현상이 평소랑 다른걸 느낌니다.
,약 복용후 수면시간이 배로 늘어났는데 건강문제인가요?
,약을 장기 복용하다가 영영 못깨어날까봐 무서울 정도로 졸음이 옵니다.
,약 먹은뒤 졸음이 많아지는데 해로운 부작용인가요?
,약을 먹으니 계속. 누워 있고만 싶습니다.
,약먹은 이후 졸음은 답이 없나요?
,잘 복용해오다가 어느날 졸음이 심해지고 있습니다.
,갑자기 찾아오는 졸음이 약물 용량이랑도 관계 있나요?
,요즘 부쩍 졸음이 심해지면 복용법을 조절해야하나요?
,조현병약물에 수면제 역할도 있는건가요?
,평소에 4시간만자도 잘버티는데 약물복용이후에는 10시간도 부족합니다.
,조현병약이 졸음유발을 들었지만 이정도 일 줄은 몰랐습니다.
,약 복용이후 근무시간에 여러번 졸고 있습니다.
,약 복용이후 수업시간에 여러번 졸고 있습니다.
,충분히 숙면을 취했는데도 피곤합니다.
,약 복용 후부터 수면시간이 늘어난것 같습니다.
,며칠전부터 약을 먹으면 잠이 많이 와요.
,며칠전부터 약을 먹으면 계속 졸려요
,언제부턴가 약을 먹으면 계속 피곤해요.
,언제부턴가 약을 먹으면 계속 졸려요
,숙면을 취해도 계속 졸립니다
,약을 복용 후 숙면시간이 늘었습니다.
,약을 복용 후 숙면시간이 늘었는데 약물에 문제가 있는게 아닌가요?
,약을 먹은 뒤 잠이 많아져서 불편합니다
,약을 복용 뒤 잠이 많아져서 불편합니다
,약을 복용하면서 잠이 많아져서 불편합니다
,약 복용후 잠이 많아져서 불편합니다
,얼마 전부터 약 복용 후 잠이 많이 와요
,최근 약 복용 후 잠이 많이 와요
,최근 약을 복용한 뒤에 잠이 많이 와요
,최근 약을 먹은 뒤에 잠이 많이 와요
,약을 먹었는데 계속 졸립니다.
,약을 복용했는데 계속 졸려요.
,약을 복용했는데 계속 졸립니다.
,약을 먹었는데 계속 피곤해요.
,약을 복용했는데 계속 피곤해요.
,약을 먹었는데 계속 피곤합니다.
,약을 복용했는데 계속 피곤합니다.
,잠을 자고 일어나도 계속 졸려요.
,아침에도 약 효과가 남아있는거 같아요.
,약을 복용 후 지나치게 잠에서 정신을 차리지 못해요
,약을 먹고난 후 지나치게 잠에서 정신을 차리지 못하는거 같아요.
,약 효과 때문인지 계속 피곤해요
,자도 자도 피곤한데 약물 때문인가요?
,약을 먹고서부터 잠이 많아졌어요
,아침에 일어나도 개운하지 않고 너무 피곤해요
,약때문인지 너무 잠이 많아졌어요
,잠을 자도 계속 잠이 와요
,자고 일어났는데 잔 것 같지도 않아요
,약 때문인지 피로 때문인지 잠이 많아졌어요
,잠을 너무 많이 자서 걱정이에요
,약을 먹고 잠이 많아져서 그런데 약을 줄일 수 있을까요?
,약을 먹고나서 잠이 많아졌어요
,잠이 많아졌는데 약물 때문일까요?
,잠을 자도 피곤해요
,약을 먹고서 잠이 많아졌어요
,잠을 자는 시간이 크게 늘었어요
,잠이 많아졌는데 약물 때문일까요?
,약물로 인해서 잠이 많아졌는데 부작용인가요?
,약물 때문에 자도 피곤하고 잠을 많이 자요
,잠이 전보다 많아졌어요
,잠이 늘었는데 부작용인가요?
,약물 때문에 잠이 너무 많아졌어요
,아침에 자고 일어나도 너무 졸려요
,잠이 너무 많아져서 걱정이에요
,약을 먹고서부터 잠이 너무 많아요
,잠을 자는 시간이 많아졌어요
,약기운이 아침까지 있는거같아요
,약 먹고 자면 잠에서 깨기가 힘들어요
,잠이 많은데 약물 부작용인가요?
,약을 먹으면 하루종일 잠만 자요.
,약을 먹으니 하루종일 졸려요
,약을 먹으면 몸이 나른해요.
,약을 복용하면 잠이 와요.
,약을 먹기만 하면 졸아요.
,약을 먹기만 하면 계속 졸아서 불편해요.
,약을 먹으면 잠에서 헤어 나오질 못해요.
,약을 복용한 뒤로 피로가 풀리질 않아요.
,약물치료를 시작한 후로 자도자도 졸려요.
,약물치료를 시작한 후로 하루종일 피곤해요.
,약을 먹으면 계속 졸린데 부작용인가요?
,약을 먹으면 계속 잠이 오는데 부작용인가요?
,약을 먹으면 계속 잠만 자는데 부작용인가요?
,약을 먹으면 계속 조는데 부작용인가요?
,약을 먹으면 계속 나른하고 피곤한데 부작용인가요?
,약을 먹으면 하루종일 잠만 오는데 부작용인가요?
,약 복용 후 하루종일 잠이 오는데 괜찮은건가요?
,약을 처방받았는데 먹기만 하면 졸려요. 저랑 안맞는 건가요?
,약을 처방받았는데 먹기만 하면 잠이 와요. 저랑 안맞는 건가요?
,약을 처방받았는데 먹기만 하면 졸게 돼요. 저랑 안맞는 건가요?
,약을 처방받았는데 먹기만 하면 피곤해요. 괜찮은 건가요?
,원래 약을 먹으면 졸린 건가요?
,원래 약을 복용하면 졸릴 수 있나요?
,약을 먹으면 계속 잠이 와서 힘들어요.
,약물치료 후 갑자기 수면시간이 늘어났어요.
,약을 먹으면 계속 몽롱해서 꿈 꾸는 것 같아요.
,약을 먹으면 졸려서 약에 취하는 기분이에요.
,약물 복용 후 너무 졸려서 일상생활에 문제가 생겼어요
,약물 복용한지 얼마 안됐는데 너무 졸립니다.
,잠이 많아진 것이 약 때문인가요?
,계속 졸리는 것이 약물 치료 영향인가요?
,잠이 많이 오는데 약물 치료 영향인가요?
,약물 치료 영향으로 잠이 너무 많이와요.
,졸린 현상이 심해요
,잠이 너무 많이 와요
,졸려서 정신을 못차리는데 약에 문제가 있는 것 아닌가요?
,잠이 너무 많이 오는데 처방을 다시 받을 수 있나요?
,잠이 너무 많이 와서 약에 문제가 있는 것 아닌가요??
,잠이 너무 많이 와서 약에 문제가 있는 것 같아요 
,잠이 너무 많이 와서 약 먹기 싫어요
,잠이 너무 많이 와서 일상 생활이 안됩니다.
,하루 종일 졸려서 생활이 안됩니다.
,하루 종일 졸려서 일상생활이 너무 불편합니다.
,약물 복용 후에 잠이 너무 많이와요
,약물 복용 후에 하루종일 졸려요
,약물 복용 후에 잠에서 깨기 힘들정도로 정신을 차릴 수가 없어요
,약물 복용 후에 잠자는 시간이 너무 늘었어요
,약 부작용으로 잠이 늘었는데 처방을 다시 받거나 약을 끊고 싶어요.
,약을 복용 후에 비몽사몽해서 정신을 차리기 너무 힘들어요
,약을 복용 후에 잠이 너무 와서 정신을 차리기 너무 힘들어요
,자고 일어나도 약효가 너무 세서 정신을 차리기 너무 힘들어요
,수면시간이 길어져서 약에 문제가 있는것같아요
,약에 수면제가 많이 들어있나요?
,잠에 취해서 일상생활이 불편합니다.
,운전 때문에 졸림증상이 생겨서 너무 위험합니다.
,운전 때문에 약으로 잠이 오면 너무 위험합니다
,약 때문에 잠에 취해서 오래 몽롱합니다.
,약을 먹고 머리가 아프기 시작했습니다.
,약을 복용하고 나서 잠이 많이 옵니다.
,약의 부작용으로 잠이 많이 오는게 있나요?
,약 부작용때문에 잠이 많아서 힘들어요
,너무 졸려요
,잠때문에 지장이 있어요
,약을 먹고 잠이 많아졌는데 어떻게 하나요?
,약을 먹은 후 계속 피곤한데 부작용인가요?
,약을 먹은 후 계속 피곤한데 어떻게 하나요?
,잠이 많이와서 일상생활이 불편합니다
,약 효과가 심하면 어쩌죠
,약을 먹은후 계속졸려서 커피같은걸 먹으면 건강이 더욱 악화되나요?
,잠이 안와요
,졸린데 잠이 안와요
,수면시간이 이상해요
,약 복용 후 잠이 너무 와서 일상생활에 불편함을 느끼고 있어요
,계속 복용하던 약인데 잠이 너무 많이 와요
,잠을 충분히 자고 일어나도 너무 졸려요
,약을먹은뒤 너무 졸려요
,약을 먹고 졸린데 괜찮은건가요?
,자고 일어나도 피곤해요
,약을 먹고 지나치게 졸려요
,약을 먹은 후 수면 시간이 증가했어요
,약을 먹은 후 수면시간이 늘었어요
,아침에 일어나기가 힘듭니다
,약물 치료를 시작하고 나서부터 피로감이 늘었는데 약물과의 관계가 있나요?
,쉽게 피로해지는 것 같습니다
답변,"2세대 항정신병 약물을 복용하는 경우 체중 증가와 관련이 있는 약물들이 일부 있습니다. 특히, 올란자핀과 같은 약물 복용시에는 운동 및 식사관리를 통해 체중관리가 필요합니다. 그 외의 약물을 복용하더라도 상대적으로 체중의 증가가 덜할 수 있지만, 결국 자기 스스로 운동과 식이요법을 통해 건강한 생활 습관이 기르는 것도 중요합니다. 만약 체중 조절이 잘 되지 않고 힘든 경우에는 담당선생님과 상의 후 체중 증가가 덜한 약물로 교체해 볼 수도 있겠습니다. "
유사질문,"1. 약을 먹으면 살이 찌지는 않나요?
2. 약을 먹어서 살이 찐 것 같은데 어떻게 해야될까요?"
,약을 먹으니 살이 많이 쪘어요
,약을 먹고 살이 찔 수도 있나요?
,약 먹은 후 음식을 별로 먹지도 않았는데 살이 많이 찌는것 같습니다.
,약을 먹으면 체중에 문제가 생길 수도 있나요?
,약을 먹고 난 후부터 계속 살이 찌고있어요
,약이 지방을 늘어나게 하기도 하나요?
,약을 먹으면 체중이 달라지나요?
,약이 체중에 미치는 영향이 있나요?
,약물을 먹고 난 뒤 체중이 크게 증가했습니다.
,약을 먹으면 체중 조절에 어려움을 느끼게되지 않나요?
,다이어트도 병행중인데 약 복용이후 체중이 증가 합니다.
,안그래도 비만때문에 스트레스인데 약 복용이 두렵습니다.
,약 먹은 후 체중관리가 잘 안됩니다 방법이 없을까요?
,고도비만인데 약을 먹을수 있을까요?
,기존약이 살이 찌는데 대체 약물이 있나요?
,먹은것도 없는데 체중이 자꾸 증가하면 복용 중단해야하나요?
,식단관리하면서 고생했는데 약 복용후 체중이 늘어나니 우울합니다. 해결방법은 없나요?
,치료하려고 복용하는데 살이 자꾸찌니 오히려 역효과만 나는거 같습니다.
,조현병치료하려고 약을 먹는데 체중이 증가하니 오히려 우울증이 와버렸네요 약물치료가 맞을까요?
,체중조절과 상관없는 약도 있나요?
,살찌는것이 조현병만큼 싫습니다. 해결방법이 없나요?
,살안찌고도 약물치료가능한가요?
,약 먹은후 체중이 증가하는 원인은 무엇인가요?
,약물 치료중 체중증가하는 사례가 많은가요?
,체중증가 원인이 약인가요?
,약물치료중 체중관리 잘하면 괜찮은건가요?
,약 먹은뒤 체충관리 스트레스가 심합니다.
,살이 어디까지 찔까봐 무서워서 약먹기가 싫습니다.
,의사랑 상의하면 체중증가가 덜한 약으로 바꿀수 있나요?
,비만인 사람은 약물치료를 어떻게 해야 하나요?
,체중관리가 중요한 사람입니다. 약을 변경할 수 있나요?
,조현병치료에만 집중하고 싶은데 체중관리까지 신경써야하나요?
,치료하려고 복용하는 약 떄문에 살이찌니 조현병이 심해질까봐 걱정입니다. 다른약으로 변경하고 싶어요
,늘어나는 체중으로 약을 변경하고 싶은데 어떻게 해야 하나요?
,살찌는 부작용이 없는 약 추천 부탁드립니다.
,약 복용후 체중이 늘어난거 같습니다.
,약 복용후 살이 찐거 같습니다.
,약 복용후 식사를 적게해도 살이 많이 찌는것 같습니다.
,약을 복용하면 체중에 뭔가 문제가 생길 수가 있나요?
,약이 과체중의 원인이 될 수 있나요?
,약을 복용하면 체중 조절에 어려움을 느낍니다
,약 복용후 체중이 크게 증가했습니다.
,약을 먹으니 체중이 늘었어요.
,약을 복용하니 체중이 늘었어요.
,약을 먹고 살이 찔 수도 있을까요?
,약을 복용하고 살이 찔 수도 있을까요?
,약이 지방을 늘어나게 하기도 할까요?
,약이 체중을 늘어나게 하기도 하나요?
,약이 체중을 늘어나게 하기도 할까요?
,약을 먹으면 체중이 달라질까요?
,약을 복용하면 체중이 달라지나요?
,약을 복용하면 체중이 달라질까요?
,약이 체중에 미치는 영향이 있을까요?
,약이 체중에 영향을 주나요?
,약이 체중에 영향을 줄수도 있나요?
,약물을 먹고 난 뒤 체중이 증가했습니다.
,약물을 복용하고 난 뒤 체중이 크게 증가했습니다.
,약물을 복용하고 난 뒤 체중이 증가했습니다.
,약물을 복용하고 난 뒤 체중이 증가했습니다.
,약을 복용하면 체중 조절에 어려움을 느끼게되지 않나요?
,약을 먹고 살이 쪘어요
,약 떄문인지 체중이 늘었어요
,체중이 자꾸 느는데 약물때문인가요?
,살이 너무 많이 쪘어요
,체중이 늘어났어요
,약물로 인해서 살이 찌는거 같아요
,체중이 느는데 이것도 부작용인가요?
,운동을 해도 살이 잘 안빠져요
,약물 때문에 체중이 늘수도 있나요?
,약을 먹고서부터 체중 조절이 잘 안되고 있어요
,체중이 너무 늘어서 걱정이에요
,운동도 꾸준히 하는데 살이 계속 쪄요
,약을 먹고서 살이 찌기도 하나요?
,약을 먹고 몸이 많이 불었어요
,체중이 늘어나는데 약물 때문인가요?
,약물 복용 전보다 몸이 무거워졌어요
,체중이 자꾸 느는데 약물 복용을 중단해도 될까요?
,살이 찌는데 약물의 영향이 있을까요?
,살이 많이 쪄서 그런데 약물을 바꿔볼 수 있을까요?
,약물로 인해 살이 찌고 있는데 맞나요?
,체중이 늘고 있어요
,살이 너무 안빠지는데 약물때문인것 같아요
,체중 조절이 너무 힘든데 약물 조절할 수 있을까요?
,약을 먹고부터 체중이 급격하게 늘었어요
,살이 많이 찌고 있어요
,약을 복용하면 살이 찌지는 않나요?
,약물 치료를 받으면 살이 찌지는 않나요?
,약을 복용하면 체중이 증가할 수도 있나요?
,약물 치료를 받으면 체중이 증가할 수도 있나요?
,약을 먹으면 체중이 증가할 수도 있나요?
,약을 복용해서 살이 찐 것 같은데 어떻게 해야될까요?
,약물치료를 받아서 살이 찐 것 같은데 어떻게 해야될까요?
,약을 복용해서 찐 살은 어떻게 빼나요?
,약물치료를 받아서 찐 살은 어떻게 빼나요?
,약을 먹어서 찐 살은 어떻게 빼나요?
,약을 복용해서 살 쪘으면 다이어트가 되나요?
,약물치료를 받아서 살 쪘으면 다이어트가 되나요?
,약을 먹어서 살 쪘으면 다이어트가 되나요?
,약을 먹고 살이 찐 것 같아요.
,살이 찐게 약 때문인 것 같아요.
,약을 먹으면 살이 찌나요?
,약을 먹고 급격히 살이 쪘어요.
,약을 먹으니 밥을 많이 먹지도 않는데 살이 쪄요
,원래 약 먹으면 살이 찔 수 있나요?
,약과 체중이 관계가 있나요?
,약을 복용하고 급격히 살이 쪘어요.
,약을 복용하고 체중이 급격히 불었어요.
,약물치료가 체중에 미치는 영향이 있나요?
,약이 살에 미치는 영향이 있나요?
,살이 안빠져요
,살이 계속 쪄요
,약복용과 다이어트 병행이 너무 힘들어요
,약 때문에 다이어트가 너무 힘들어요
,약 때문에 체중 조절이 너무 힘들어요
,약 때문에 살이 찌는 것같아요
,약 때문에 몸이 둔해져서 너무 힘들어요
,약 때문에 살이 안 빠지는 것 같아요
,체중 증가도 약물 부작용인가요?
,살 찌는 것도 약물 부작용인가요?
,약 먹고 살이 너무 많이 쪘어요
,약 먹고 살이 너무 많이 붙었어요
,몸이 둔해져서 약을 먹기 싫어요
,살찌는 것 때문에 약 먹기 싫어요
,다이어트 때문에 약을 중단하거나 다른 처방을 받을 수 있나요?
,다이어트 때문에 다른 처방을 받고 싶어요
,운동과 식단에도 살이 계속 찌는데 약때문인가요?
,운동과 식단에도 변화가 없는데 약 때문인가요?
,똑같이 먹어도 살이 계속 찌는데 약 때문인가요?
,약물 치료 이후부터 계속 살이 쪄요
,약물 치료 때문에 살이 안 빠지는 것같아요
,약물 치료 때문에 체중 조절이 어려워요
,약물 치료 때문에 체중이 크게 늘었어요
,약을 먹고 살이 쪘어요
,살 때문에 약을 먹기 싫어요
,약이 신체능력 조절에 영향을 주나요?
,약이 체중에 안좋은 영향을 주나요?
,약을 먹고나서 몸무게가 크게 늘었습니다.
,약을 먹은 뒤 체중이 늘었는데 뭔가요
,약 때문에 살 쪗어요
,약 때문에 폭식하게 되네요
,약을 먹은 후부터 계속 살이 찌는데 괜찮은 건가요?
,약을 먹으면 살이 찌나요?
,약이 체중에 영향을 미치나요?
,약먹고 다이어트는 어떻게 해야되나요?
,약먹고 체중이 늘면 어쩌죠?
,약이 지방을 늘게하나요?
,약을 먹으니 살이 많이 쪘어요
,약을 먹고 살이 찔 수도 있나요?
,살이 쪄요
,약 복용이 체중증감에 관련이 있나요?
,약물복용을 할때 식사 관리를 해야할까요?
,약 복용후 살이 너무 쪘는데 부작용인가요?
,약의 칼로리가 높나요?
,투약후 체중이 증가했어요
,약 먹고 살 쪘어요
,살이 많이 찐 것 같아요
,항정신병 약물복용 시 부작용은 없을까요?
,약을 먹고 살이 찌기도 하나요?
,다이어트 중인데 약물 치료를 해도 괜찮을까요?
,약을 먹고 살이 찌면 어떻게 해야하나요?
,지방과 약의 관계를 알고싶습니다
답변,"부작용은 일반적으로 약을 복용하기 이전에는 없던 증상이 약을 복용하고 난 뒤, 새롭게 나타난 경우 의심해 볼 수 있습니다. 그러나 부작용처럼 보이는 질병의 증상들도 있으므로 담당선생님께 자신의 현재 상태를 충분히 설명 드리고 상의해보시는 것이 좋을 것 같습니다."
유사질문,"1. 부작용과 증상을 어떻게 구별할 수 있나요?
2. 팔다리가 떨리고 저리기도 한 것은 약 때문인가요"
,약물 부작용은 어떻게 판단하나요?
,부작용인지 어떻게 알 수 있나요?
,약 먹은 후 처음보는 증상이 일어나면 어떡하죠?
,약 먹은 후 부작용이 일어날 수 있나요?
,부작용은 어떻게 구분해야하나요?
,구별 할 수 있는 증상이 있나요?
,구별 할 수 있는 부작용이 있나요?
,몸이 떨립니다. 약 때문인가요
,몸이 저립니다. 약 때문인가요
,약을 먹고나서 머리가 빠지기 시작했어요. 부작용인가요?
,약물치료 전에는 피부가 좋았는데 지금은 피부가 많이 나빠졌습니다.
,약먹고 부작용이 의심되는데 부작용이 맞는지는 모르겠습니다.
,부작용이 의심되는데 부작용이 아닐수도 있나요?
,부작용이 아니면 어떻게 해야 하나요?
,부작용이 아닐경우에는 다른 질병일 수도 있나요?
,약을 먹은후 소화불량이 있습니다 부작용인가요?
,약을 먹으니 다른 곳이 아픕니다. 부작용인가요?
,부작용이 의심되면 의사 상의 필요한가요?
,신진대사가 망가진거 같아요 약 때문인가요?
,약먹기 전엔 괜찮았던 피부가 약먹은후 안좋아요 부작용인가요?
,평소지병이 없는데 약먹은뒤 다른 증상이 찾아왔습니다.
,부작용이 아닌데 증상이 있는 이유가 무엇인가요?
,호흡곤란이 약부작용인가요?
,약먹은후 나타나는 증상은 부작용 맞나요?
,피로가 심해졌습니다 부작용인가요?
,집중력이 흐트려진거 같습니다 부작용인가요?
,시력이 저하된거 같습니다 부작용인가요?
,근육통이 생긴건 부작용인가요?
,모든것이 짜증스럽습니다 약 때문인가요?
,약을 먹은 이후에 몸살기운이 있습니다. 
,복용이전에도 지병이 있었는데 복용후 더 심해졌습니다. 부작용인가요? 아닌가요?
,증상들이 부작용이 아닐거 같기도 합니다. 
,부작용이 아니면 무엇인가요?
,옆구리가 요즘들어 아픈데 부작용일까요?
,약물복용뒤 혀에 백태가 생겼습니다 부작용인가요?
,약의 부작용과 증상의 차이를 모르겠습니다.
,컨디션이 나쁩니다. 약 때문인가요?
,약물 복용 후 탈모증상이 나타나고 있습니다. 부작용인가요?
,부작용으로 탈모증상이 나타날수 있나요?
,부작용으로 몸이 떨릴 수 있나요?
,부작용으로 몸이 저릴 수 있나요?
,약물 복용 후 부작용이 일어날 수 있나요?
,약물 복용 후 처음보는 증상이 일아날 수 있나요?
,약물 치료 후 피부가 나빠진거 같습니다. 부작용 인가요?
,약물 부작용은 뭐로 판단하나요?
,약물 부작용은 어떻게 판단할수있나요?
,약물 부작용은 뭐로 판단할수있나요?
,부작용인지 뭐로 알 수 있나요?
,약 복용 후 처음보는 증상이 일어나면 어떡하죠?
,약 먹은 후 처음보는 증상이 일어나면 어떡해야하나요?
,약 복용 후 처음보는 증상이 일어나면 어떡해야하나요?
,약 복용 후 부작용이 일어날 수 있나요?
,약 복용 후 부작용이 일어날 수 있을까요?
,부작용은 뭐로 구분해야하나요?
,부작용은 뭐로 구분할수 있나요?
,부작용은 어떻게 구분할수 있나요?
,구별 가능한 증상이 있나요?
,구별 할 수 있는 증상이 있을까요?
,구별 가능한 증상이 있을까요?
,부작용이 생기는것 같아요
,부작용인지 아닌지 판단은 어떻게 하나요?
,일반적인 현상인지 아닌지 어떻게 아나요?
,전에는 안그랬는데 약물 복용 후 몸이 이상해졌어요
,몸이 저린데 부작용인가요?
,부작용으로 몸이 저린것 같아요
,몸이 떨리는데 부작용 같아요
,부작용이 나는것 같은데 맞나요?
,전에 없던 현상이 생기는것 같은데 부작용으로 봐야하나요?
,부작용 증상이 있는거 같은데 어떻게 알 수 있을까요?
,부작용으로 판단하는 기준이 있을까요?
,몸이 이상이 생긴것 같은데 부작용일까요?
,약물 복용하고 떨림 증상이 있는데 부작용인가요?
,약을 먹기 시작하면서 부터 이상 증세가 있는데 부작용인가요?
,부작용과 일반적인 증상 구분할 수 있나요?
,몸이 좀 저린데 이것도 부작용인가요?
,약물치료하고 몸상태가 안좋아졌어요
,약물의 부작용으로 몸이 많이 망가진것 같아요
,몸이 이상한데 부작용인가요?
,부작용이라고 판단하는 기준이 있을까요?
,부작용은 어떤 현상이 있나요?
,약을 먹고서 몸이 힘든데 부작용인가요?
,탈모도 부작용인가요?
,몸이 저리고 떨리는 현상이 있어요
,약을 먹고난 후로 몸이 이상해요. 부작용인가요?
,몸이 안좋은데 약 부작용인지 다른 이유인지 모르겠어요.
,약을 먹고 팔다리 떨림이 있을 수 있나요?
,약을 먹고난 후 팔 떨림이 있을 수 있나요?
,약 때문에 다리 떨림이 있을 수 있나요?
,팔다리저림 증상이 있는데 약 때문인가요?
,약 먹으면 원래 팔다리가 저리나요?
,약 때문에 다리가 저릴 수 있나요?
,약 먹고 몸이 좀 저린 것 같아요.
,약 먹고 팔다리가 떨려요.
,약 먹고 피부가 안좋아진 것 같아요.
,약 먹으니 여드름이 나요.
,여드름이 많이 났는데 약 때문일 수 있나요?
,원래도 다리 저림 증상이 있긴 했는데 약 먹고 더 심해진 것 같아요.
,약 부작용인지 진짜로 어디가 안좋은 건지 잘 모르겠어요.
,약 부작용인지 다른 이유인지 몸이 안좋아요.
,어지러움증이 있는데 약 때문인가요?
,현기증이 나는데 약 때문인가요?
,약을 복용한 후 살이 쪘는데 부작용인가요?
,약을 복용한 후 체중이 급격히 늘어났는데 부작용인가요?
,약을 먹은 후 살이 쪘는데 부작용인가요?
,약을 먹은 후 체중이 급격히 늘어났는데 부작용인가요?
,약물치료 후 계속 여드름이 나는데 부작용인가요?
,손이 저린데 부작용인가요?
,현기증이 심한데 부작용인가요?
,손저림 증상이 더 심해졌는데 부작용인가요?
,살이 쪘는데 부작용인가요?
,성기능에 문제가 생겼는데 부작용인가요?
,현기증이 심한데 부작용인가요?
,탈모가 생겼는데 부작용인가요?
,머리카락이 많이 빠지는데 부작용인가요?
,여드름이 생기는데 부작용인가요?
,디스크가 생겼는데 부작용인가요?
,빈혈이 생겼는데 부작용인가요?
,당뇨가 생겼는데 부작용인가요?
,체력이 많이 떨어졌는데 부작용인가요?
,식욕이 없어지는데 부작용인가요?
,살이 점점 빠지는 데 부작용인가요
,발기부전이 생겼는데 부작용인가요?
,잠이 많아졌는데 부작용인가요?
,정신이 흐릿하고 몸이 축축 늘어지는데 부작용인가요?
,몸이 늘어지고 생각을 정상적으로 할 수 없는데 부작용인가요?
,알레르기가 심해졌는데 부작용인가요?
,면역력이 떨어지는 느낌인데 부작용인가요?
,근육이 점점 빠지는데 부작용인가요?
,감정의 기복이 점점 심해지는데 부작용인가요?
,약 때문인지 어떻게 알아요?
,부작용의 판단방법으로는 무엇이 있나요?
,부작용이 생기면 보상을 받을 수 있나요?
,부작용이 생겼다면 약물치료는 어떻게 되는 건가요?
,약 때문에 피부가 안좋아졌어요
,부작용이 없는것 같아요
,약때문에 탈모증상이 오네요
,약의 부작용은 어떻게 판단하나요?
,구별 가능한 부작용이 있나요?
,구별 가능한 증상이 있나요?
,약물 부작용이 뭔가요
,약물 부작용으로 뭐가있나요?
,부작용이 심하면 어떻하나요?
,토가나와요
,수전증이 잇어요
,아토피가 나요
,부작용인지 아닌지 어떻게 구별할 수 있을까요?
,약을 복용하기 전에 없던 증상이 나타나요
,약을 먹고 부작용처럼 보이는 증상이 나타나요
,몸이 저려오는것 같아요
,머리가 빠지는데 부작용인가요
,피부가 점점 안좋아지는것 같습니다
,약의 부작용은 없을까요?
,약의 부작용은 어떻게 알 수 있나요?
,부작용은 어떻게 알 수 있을까요?
,조현병 증상과 부작용을 어떻게 구별할 수 있나요?
,부작용이 늦게 발현되면 대처할 수 있나요?
,부작용과 약의 효능을 구별할 방법이 있나요?
답변,"약을 과다하게 복용하게 되면 예상치 못한 부작용을 심하게 겪을 수 있습니다. 가능하면 빨리 병원에 방문하여 의사 선생님과 상의하시기 바랍니다. 병원에 가실 때에는 담당선생님을 만나지 못하는 경우를 대비하여 자신이 복용하고 있는 약물 처방전 또는 복약지도서를 가져가시고 복용한 양을 알려주시면 도움이 됩니다. 만약 복약지도서나 처방전을 가지고 갈 수 없다면, 남은 약을 가지고 가셔도 좋습니다."
유사질문,1. 약을 실수로 과량 먹었을 때는 어떻게 하면 되나요?
,약을 너무 많이 먹은 것 같아요
,처방보다 많은 약을 먹었어요
,약을 잘못해서 많이 먹어버렸어요
,약을 기준보다 많이 복용해버렸는데 무슨 일이 생기지는 않겠죠?
,약을 많이 먹었는데 어떻게 하나요
,약물치료 효과가 몸에 느껴져서 2배 효과를 느끼위해 복용량을 2배로 늘였는데 괜찮을까요?
,약을 많이 먹으면 먹을수록 효과가 더 늘어나나요?
,약이 효과가 별로인데 한봉지 더. 먹어도 상관없나요?
,임의로 약을 추가 복용하면 어떻게 되나요?
,잊어버리고 약을 또 먹었습니다 어떻게 해야 되나요?
,약을 실수로 많이 먹었으면 의사를 만나야 하나요?
,약효가 나지 않아 2배 먹었는데 오히려 부작용이 생긴거 같습니다. 어떻게 해야 하나요?
,약을 실수로 먹어서 병원가봐야하는데 먹던 약 가져가야하나요?
,약물 오용으로 병원가야하는데 챙겨가야할 준비물 있나요?
,약을 실수로 또 먹었는데 두렵습니다.
,약효가 나지 않는데 2배 늘리는게 답인가요?
,복용량을 늘리면 약효과 더 있나요?
,평소에 조금씩 복용량을 늘렸는데 상담받아야하나요?
,복용량을 늘리고 싶습니다.
,복용량을 늘리면 안되나요?
,약을 2배먹어야 나을거 같아요
,약을 평소보다 늘렸습니다
,약을 1회 더 먹었습니다
,약을 너무 먹어 걱정됩니다.
,약을많이 먹었으면 병원 무조건 가야되나요?
,약조절을 잘못 한거 같습니다
,약을 조금만 더 먹어도 상관없나요?
,약을 좀더 먹으면 나을까요?
,약을 마음대로 많이 먹으면 왜 안되나요?
,복용법보다 조금만 추가해서 복용은 괜찮지 않나요?
,복용법대로만 복용해야하나요?
,복용지시 안지키면 어떻게 되나요?
,마음대로 약먹으면 부작용 심한가요?
,약을 임의 복용하면 부작용 심한가요?
,약을 늘렸더니 효과가 나타나는데 계속 그래도 되나요?
,약물 과다복용을 했습니다.
,실수로 약을 과다 섭취했습니다.
,실수로 약을 과다 복용했습니다.
,실수로 약을 많이 먹었습니다.
,약을 많이 먹으면 어떻게 되나요?
,약을 많이 먹으면 좋나요?
,약을 과다 복용하면 좋나요?
,약을 과다 섭취하면 좋나요?
,약을 과다 복용하면 안되나요?
,약을 많이 먹으면 안되나요?
,약을 과다 복용하면 몸에 않좋나요?
,약을 많이 먹으면 몸에 않좋나요?
,약을 많이 먹은 것 같아요
,약을 너무 많이 복용한 것 같아요
,약을 많이 복용한 것 같아요
,처방한 것 보다 많은 약을 먹었어요
,처방한 것 보다 많은 약을 복용했어요.
,처방한 것 보다 약을 더 먹었어요
,처방한 것 보다 약을 더 복용했어요.
,약을 기준보다 더 복용해버렸는데 무슨 일이 생기지는 않겠죠?
,약을 기준보다 더 먹었는데 무슨 일이 생기지는 않겠죠?
